ID,Year,Month,Day,Time,Type,Occurence,Apprehension,Neighbourhood_number,Neighbourhood_name
102,2014,January,Friday,9,Person in Crisis,Yes,Yes,89,Runnymede-Bloor West Village
103,2014,January,Friday,17,Person in Crisis,No,No,169,Bay-Cloverhill
104,2014,January,Friday,18,Person in Crisis,No,No,68,North Riverdale
105,2014,January,Friday,18,Person in Crisis,No,No,163,Fort York-Liberty Village
106,2014,January,Friday,18,Suicide-related,Yes,No,159,Etobicoke City Centre
107,2014,January,Friday,21,Person in Crisis,No,No,129,Agincourt North
108,2014,January,Friday,11,Suicide-related,No,No,73,Moss Park
109,2014,January,Friday,5,Person in Crisis,No,No,2,Mount Olive-Silverstone-Jamestown
110,2014,January,Friday,18,Suicide-related,No,No,87,High Park-Swansea
111,2014,January,Friday,11,Suicide-related,No,No,166,St Lawrence-East Bayfront-The Islands
112,2014,January,Friday,18,Suicide-related,Yes,No,171,Junction-Wallace Emerson
113,2014,January,Friday,17,Person in Crisis,No,No,154,Oakdale-Beverley Heights
114,2014,January,Friday,12,Person in Crisis,No,No,83,Dufferin Grove
115,2014,January,Friday,11,Suicide-related,No,No,39,Bedford Park-Nortown
116,2014,January,Friday,23,Person in Crisis,No,No,120,Clairlea-Birchmount
117,2014,January,Friday,12,Person in Crisis,Yes,No,85,South Parkdale
118,2014,January,Friday,11,Suicide-related,No,No,80,Palmerston-Little Italy
119,2014,January,Friday,11,Suicide-related,No,No,113,Weston
120,2014,January,Friday,9,Person in Crisis,No,No,151,Yonge-Doris
121,2014,January,Friday,11,Person in Crisis,No,No,78,Kensington-Chinatown
122,2014,January,Friday,18,Suicide-related,No,No,170,Yonge-Bay Corridor
123,2014,January,Friday,12,Person in Crisis,Yes,Yes,1,West Humber-Clairville
124,2014,January,Friday,3,Person in Crisis,Yes,Yes,35,Westminster-Branson
125,2014,January,Friday,23,Suicide-related,Yes,Yes,57,Broadview North
126,2014,January,Friday,21,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
127,2014,January,Friday,6,Person in Crisis,No,No,25,Glenfield-Jane Heights
